time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
8.71000000,0.41914114,2.55610333,-64.02697309,-0.60129389,0.94427786,-0.55122059,19.55385664,-15.62704525,0.00000000,-17.09282743,-9.91234160,2.53531356,-3.75289373,0.00000000,-18.57074230,10.55390745,-5.00000214
8.71500000,0.36168599,2.66248650,-63.82718841,-0.60253082,0.94343878,-0.54786040,19.53970033,-15.54823351,0.00000000,-17.30720060,-9.19273696,2.70037549,-3.96567895,0.00000000,-18.87340645,10.58881165,-5.00000214
8.72000000,0.37716040,2.61582362,-63.67884261,-0.60394117,0.94284823,-0.54470662,19.46507975,-15.44181786,0.00000000,-17.68612524,-8.48489194,2.78957020,-4.16240470,0.00000000,-19.35892775,10.81879714,-5.00000214
8.72500000,0.37377349,2.60557041,-63.52405787,-0.60541526,0.94215961,-0.54139455,19.41160451,-15.31449261,0.00000000,-18.04935281,-7.71040667,2.90589030,-4.37911329,0.00000000,-19.83305079,10.97226275,-5.00000214
8.73000000,0.32851788,2.44010773,-63.40597861,-0.60691099,0.94192785,-0.53803664,19.24015006,-15.04530972,0.00000000,-18.42408097,-7.20321272,2.87896932,-4.71914956,0.00000000,-20.26743643,10.81614447,-5.00000214
8.73500000,0.37061374,2.38940692,-63.28762228,-0.60841604,0.94138365,-0.53473851,19.13043349,-14.92478485,0.00000000,-18.80668230,-6.33300037,2.90359083,-4.91050697,0.00000000,-20.68233857,11.06095263,-5.00000214
8.74000000,0.32724950,2.43562632,-63.32212276,-0.61018992,0.94063871,-0.53174302,19.10348389,-14.71821622,0.00000000,-18.91441162,-5.70963282,3.07820105,-5.12486034,0.00000000,-21.11835839,11.02423458,-5.00000214
8.74500000,0.33415823,2.46700403,-63.33144717,-0.61200534,0.94004261,-0.52870842,19.17328946,-14.53889639,0.00000000,-19.32968744,-4.94009564,3.24216105,-5.30758703,0.00000000,-21.61307262,11.13008973,-5.00000214
8.75000000,0.30365317,2.41825316,-63.35216536,-0.61367735,0.93980533,-0.52544334,19.10740955,-14.28667113,0.00000000,-19.60711709,-4.57825342,3.30204307,-5.55561464,0.00000000,-22.04058843,10.99467736,-5.00000214
8.75500000,0.20381176,2.50665227,-63.34328805,-0.61542851,0.93917073,-0.52210770,19.12883627,-14.02230697,0.00000000,-19.79004822,-3.74102796,3.56845342,-5.82231452,0.00000000,-22.55670451,11.05244840,-5.00000214
8.76000000,0.23194335,2.42595815,-63.46292022,-0.61743978,0.93896364,-0.51936919,19.07908293,-13.77797199,0.00000000,-20.04075754,-3.44983262,3.58397318,-6.00889616,0.00000000,-22.98009421,10.97544742,-5.00000214
