Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
0,-0.40731401,6.4654444,90.31032317,0.58560397,0.97000722,-0.6941677,-3.87968251,-1.77575515,-28.21353069,-6.88611516,9.15854858,2.2072313,0,-3.13037853,-1.79367341,-18.28376555,-6.79651291,6.90017178,4.29761622,0,0,0,0
0.005,-0.39215505,6.49770086,90.32975687,0.58558259,0.97005333,-0.69417841,-3.93817475,-1.73840261,-28.13406533,-6.83471846,9.11212537,2.04444679,0,-3.15304805,-1.8248262,-18.36475487,-6.82016518,6.93737589,4.48498731,0,0,0,0
0.01,-0.39993186,6.49039727,90.3446075,0.58552215,0.97005693,-0.69417187,-3.9302996,-1.74954941,-28.14488686,-6.83798065,9.11499684,2.03147239,0,-3.14992667,-1.81286288,-18.35064001,-6.80438352,6.93539191,4.50299029,0,0,0,0
0.015,-0.39948295,6.49090589,90.3554397,0.58546835,0.97006809,-0.69416039,-3.93046981,-1.7520712,-28.14655602,-6.84076526,9.11244022,2.02984104,0,-3.1497371,-1.81124285,-18.34605066,-6.80013549,6.93638304,4.50699147,0,0,0,0
0.02,-0.40396755,6.48945655,90.37116536,0.58540468,0.97007594,-0.69415699,-3.92953372,-1.7597758,-28.16887247,-6.84266055,9.10438025,2.01674331,0,-3.15475398,-1.80195424,-18.31375011,-6.78179609,6.94288306,4.53014091,0,0,0,0
0.025,-0.40730553,6.49170985,90.39322916,0.58533866,0.97008568,-0.69416049,-3.93750139,-1.76377985,-28.19335003,-6.83749159,9.10160329,2.00852315,0,-3.15774159,-1.79648382,-18.28663788,-6.77490901,6.94404978,4.54247226,0,0,0,0
0.03,-0.40699004,6.49183514,90.40285721,0.58527805,0.97009184,-0.69416414,-3.93931329,-1.76679762,-28.20755943,-6.83738493,9.09577676,2.00788791,0,-3.16267142,-1.79234876,-18.26844389,-6.76283216,6.95078405,4.54809668,0,0,0,0
0.035,-0.40887008,6.49134122,90.41475023,0.58521546,0.97009482,-0.69416733,-3.94065836,-1.7718392,-28.22501575,-6.83718704,9.09293709,2.00772056,0,-3.16601281,-1.78602833,-18.24753319,-6.75153134,6.95508624,4.5525029,0,0,0,0
0.04,-0.4066267,6.49114724,90.41522989,0.58516485,0.97009774,-0.69416986,-3.94103497,-1.77315275,-28.22521617,-6.83711149,9.09291908,2.00771109,0,-3.16578401,-1.78533253,-18.24727865,-6.75121651,6.9551969,4.55254334,0,0,0,0
0.045,-0.40885875,6.48541953,90.42562284,0.58510313,0.97009304,-0.69418451,-3.93547951,-1.77961841,-28.24480421,-6.84082758,9.0889475,2.0054537,0,-3.16908552,-1.77685593,-18.22387568,-6.73092527,6.96554523,4.55943814,0,0,0,0
0.05,-0.40682607,6.4849642,90.42614757,0.585057,0.97009449,-0.69419297,-3.93589269,-1.78078223,-28.24502485,-6.84089015,9.08896174,2.0054881,0,-3.16894765,-1.77621376,-18.22354407,-6.73078806,6.9655922,4.5594278,0,0,0,0
0.055,-0.41014323,6.47677681,90.44915147,0.58499617,0.97008742,-0.69420427,-3.92635145,-1.78852409,-28.28485835,-6.85163693,9.09146708,2.02035572,0,-3.16231425,-1.76910474,-18.17197775,-6.72183626,6.96865197,4.54748285,0,0,0,0
0.06,-0.40786271,6.47576072,90.44899505,0.58495032,0.97008802,-0.69422093,-3.92676104,-1.78963653,-28.28515092,-6.85153087,9.09156646,2.02035337,0,-3.1624342,-1.76843389,-18.17202105,-6.72150163,6.96896363,4.54727645,0,0,0,0
0.065,-0.40449966,6.46774958,90.44749944,0.58491384,0.97007981,-0.69424719,-3.91918992,-1.78908718,-28.29389268,-6.85227574,9.09262557,2.02078757,0,-3.16411386,-1.76626194,-18.17008494,-6.70388633,6.98220411,4.54359425,0,0,0,0
0.07,-0.40270248,6.46681989,90.44752948,0.58487625,0.97008229,-0.69426745,-3.91948882,-1.7898372,-28.29399531,-6.85264801,9.09261608,2.02087978,0,-3.1642746,-1.76556835,-18.16965338,-6.70405383,6.98235201,4.54359624,0,0,0,0
0.075,-0.40096757,6.46570781,90.44768088,0.58483998,0.97008465,-0.69428985,-3.9196448,-1.79051926,-28.29417509,-6.85317586,9.0926367,2.0209085,0,-3.16449889,-1.7648778,-18.16912812,-6.70402882,6.98275928,4.54364818,0,0,0,0
0.08,-0.3992618,6.46441484,90.4479801,0.58480461,0.97008721,-0.69431471,-3.91965632,-1.79115033,-28.2944195,-6.8538884,9.09270248,2.02087158,0,-3.16478144,-1.76418141,-18.16850179,-6.70386032,6.98342456,4.54374678,0,0,0,0
0.085,-0.3975629,6.4356978,90.46619585,0.58475397,0.97004859,-0.69431488,-3.87524706,-1.79877943,-28.32412814,-6.88999828,9.11536572,2.03188276,0,-3.12930262,-1.76377326,-18.11025587,-6.71005059,7.01704429,4.52604618,0,0,0,0
0.09,-0.39596611,6.43433161,90.46624408,0.58472063,0.97005177,-0.69434467,-3.8754971,-1.7992536,-28.32433496,-6.89018566,9.11527556,2.03190236,0,-3.12976445,-1.76301473,-18.1103757,-6.71015353,7.01709773,4.52581401,0,0,0,0
0.095,-0.39442913,6.43285331,90.46657803,0.58468614,0.97005279,-0.694376,-3.87569452,-1.79980106,-28.32454709,-6.89063107,9.11523308,2.03186402,0,-3.13019034,-1.76234393,-18.11045466,-6.71018584,7.01732893,4.52557037,0,0,0,0
0.1,-0.3959174,6.39641065,90.47446683,0.58463666,0.97001191,-0.69438281,-3.82496893,-1.81115756,-28.34901767,-6.91944159,9.13100213,2.04856391,0,-3.08893043,-1.75624899,-18.07873803,-6.71241406,7.02502416,4.48398731,0,0,0,0
0.105,-0.39443726,6.39505578,90.47486693,0.58460042,0.97001089,-0.69441937,-3.82549277,-1.81173395,-28.34898139,-6.92000149,9.13087437,2.04856694,0,-3.08968395,-1.75564365,-18.07867742,-6.712958,7.02497345,4.48387745,0,0,0,0
0.11,-0.39350159,6.39471293,90.48133985,0.58455676,0.97000924,-0.69445624,-3.82537559,-1.8136728,-28.34921538,-6.9263031,9.13081784,2.04793854,0,-3.09051266,-1.75513784,-18.07813369,-6.71409284,7.02591653,4.4820037,0,0,0,0
0.115,-0.39200732,6.39310312,90.48148799,0.58451812,0.97000434,-0.69450067,-3.82606548,-1.8144242,-28.34940304,-6.92698241,9.1310204,2.04767925,0,-3.09122594,-1.75438815,-18.07795717,-6.71493696,7.02586625,4.48190727,0,0,0,0
0.12,-0.3970769,6.39615154,90.49024028,0.58446618,0.96999913,-0.6945367,-3.82415565,-1.8256591,-28.36001944,-6.94630543,9.14656068,2.03544815,0,-3.08992785,-1.74871082,-18.07117813,-6.72789111,7.02776955,4.47443989,0,0,0,0
