time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,lumbar_extension
8.71000000,-3.53221360,1.47174778,29.93221870,0.02067211,0.95013837,-0.79069896,18.47668369,-17.15911346,0.00000000,-15.87275072,-11.98842212,5.05818180,-3.08910986,0.00000000,-19.60439174,6.45636460,-5.00000214
8.71500000,-3.57308950,1.53388989,30.10735679,0.02381404,0.94930348,-0.78928061,18.53818781,-17.15530993,0.00000000,-16.39934129,-11.25002270,5.16503198,-3.21690254,0.00000000,-19.99121046,6.41387417,-5.00000214
8.72000000,-3.52725783,1.53706573,30.24707385,0.02701243,0.94875882,-0.78780843,18.44143901,-17.01684127,0.00000000,-16.70122026,-10.67121735,5.26366268,-3.43363758,0.00000000,-20.43827966,6.45725734,-5.00000214
8.72500000,-3.52697006,1.49580623,30.40141147,0.03036227,0.94800212,-0.78629806,18.40852065,-16.84524254,0.00000000,-17.04548726,-9.83184534,5.42864371,-3.68492023,0.00000000,-20.92102660,6.65700324,-5.00000214
8.73000000,-3.46469342,1.40746257,30.53468940,0.03379854,0.94754753,-0.78480803,18.34068008,-16.57426322,0.00000000,-17.39698587,-9.12472359,5.53844623,-4.02706251,0.00000000,-21.34133882,6.58258615,-5.00000214
8.73500000,-3.43489280,1.43837758,30.62153469,0.03711586,0.94703011,-0.78324118,18.26831471,-16.43156352,0.00000000,-17.73834984,-8.47223966,5.58925486,-4.22209838,0.00000000,-21.72814357,6.64147195,-5.00000214
8.74000000,-3.46764256,1.39786457,30.57488164,0.04009236,0.94621864,-0.78142934,18.26808797,-16.21631901,0.00000000,-17.88881100,-7.80239623,5.76344026,-4.43954582,0.00000000,-22.15727077,6.68293367,-5.00000214
8.74500000,-3.46036763,1.38712254,30.56722206,0.04313845,0.94567799,-0.77957979,18.28899801,-15.99091279,0.00000000,-18.23495366,-7.09123523,5.91273740,-4.66862258,0.00000000,-22.63070005,6.68305245,-5.00000214
8.75000000,-3.40605005,1.35499976,30.55816033,0.04646591,0.94543751,-0.77794685,18.19831434,-15.72146347,0.00000000,-18.46642340,-6.69736011,5.95065987,-4.92550734,0.00000000,-22.97278964,6.57105627,-5.00000214
8.75500000,-3.45035648,1.26076672,30.54114483,0.04975689,0.94482879,-0.77614294,18.20777857,-15.43514359,0.00000000,-18.64833436,-5.89676358,6.20461010,-5.20601760,0.00000000,-23.50165540,6.51984538,-5.00000214
8.76000000,-3.43188928,1.21845182,30.44287127,0.05251430,0.94434015,-0.77411473,18.26855750,-15.15124268,0.00000000,-18.93058750,-5.35456645,6.36840979,-5.44732574,0.00000000,-23.99584204,6.59146389,-5.00000214
